,tmd,delta_md,delta_ns,delta_ew,delta_tvd,inclination,azimuth,delta_tmd,inclination_prev,azimuth_prev,calc_azi,calc_inc
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5.8,5.8,0.0,0.0,5.8,0.0,0.0,5.8,0.0,0.0,0.0,0.0
2,26.0,20.2,0.0,0.0,20.2,0.0,0.0,20.2,0.0,0.0,0.0,0.0
3,50.2,24.2,0.056697000000000004,-0.00606,24.199866,0.00471238898038469,6.176720222807932,24.200000000000003,0.0,0.0,1.333559604726748,0.004712409069091445
4,69.15,18.95,0.053358,0.009154,18.94988,0.0017453292519943296,0.998153799215557,18.950000000000003,0.00471238898038469,6.176720222807932,4.414747073527241,0.001745388097349427
5,88.04,18.89,0.031598,0.040021,18.889922,0.003665191429188092,0.8569566627292158,18.89,0.0017453292519943296,0.998153799215557,1.0241344922359077,0.0036651625832386345
6,107.01,18.97,0.06500399999999999,0.018019999999999998,18.969839,0.004537856055185257,6.090151891909014,18.97,0.003665191429188092,0.8569566627292158,1.0616830591228725,0.004537909888047247
7,125.98,18.97,0.067422,0.052986,18.969670999999998,0.006981317007977318,1.180715238974164,18.97,0.004537856055185257,6.090151891909014,4.988304300882965,0.006981253206773989
8,144.94,18.96,0.050457999999999996,0.12415699999999999,18.959526,0.007155849933176751,1.1887437535333378,18.959999999999994,0.006981317007977318,1.180715238974164,5.013499289097497,0.007155955599721632
9,163.89,18.95,0.046896,0.151258,18.949320999999998,0.009599310885968814,1.3308135546456763,18.94999999999999,0.007155849933176751,1.1887437535333378,5.459842314929138,0.00959917683963615
10,182.72,18.83,0.070564,0.14741400000000002,18.829249,0.008203047484373348,0.8820894039579341,18.830000000000013,0.009599310885968814,1.3308135546456763,1.1031237568909253,0.00820318780847732
11,201.68,18.96,0.134185,0.117817,18.959126,0.010821041362364843,0.5982988675836561,18.960000000000008,0.008203047484373348,0.8820894039579341,0.21149658335305258,0.01082096851919535
12,220.65,18.97,0.18994,0.098039,18.968777,0.011868238913561441,0.3654719453676126,18.97,0.010821041362364843,0.5982988675836561,5.763322665919434,0.011868252363399808
13,239.6,18.95,0.206355,0.111697,18.948521,0.013089969389957472,0.6145304296272035,18.94999999999999,0.011868238913561441,0.3654719453676126,0.2624864590153282,0.013089872830830409
14,258.58,18.98,0.248717,0.139961,18.977798999999997,0.01710422666954443,0.43458698374658805,18.97999999999999,0.013089969389957472,0.6145304296272035,5.980436955727063,0.017104298959771762
15,277.52,18.94,0.303128,0.151081,18.936963000000002,0.018675022996339326,0.4878195259324151,18.939999999999998,0.01710422666954443,0.43458698374658805,6.147612506774523,0.018674955900868134
16,296.46,18.94,0.26398699999999997,0.051003,18.937682000000002,0.011868238913561441,5.995555046450921,18.939999999999998,0.018675022996339326,0.4878195259324151,0.7644906159918565,0.011868155668459758
17,315.42,18.96,0.204569,-0.0751,18.958741,0.01117010721276371,5.8630845562245515,18.960000000000036,0.011868238913561441,5.995555046450921,0.34836598616739106,0.011170000750591087
