tmd,delta_md,delta_ns,delta_ew,delta_tvd,inclination,azimuth
1601.200000,19.280000,-4.810950,-0.472250,18.662701,14.050000,187.640000
1620.330000,19.130000,-4.500090,-0.669540,18.580742,13.470000,189.320000
1639.570000,19.240000,-4.502870,-0.533600,18.696883,13.820000,184.260000
1658.800000,19.230000,-4.995170,-0.210740,18.563297,16.340000,180.850000
1678.050000,19.250000,-5.311180,-0.558060,18.487918,16.010000,191.250000
1697.210000,19.160000,-4.983730,-1.555170,18.426474,15.800000,203.490000
1716.590000,19.380000,-4.823630,-2.313160,18.625828,16.270000,207.690000
1735.790000,19.200000,-5.008550,-2.940200,18.293064,18.990000,212.760000
1754.980000,19.190000,-5.761600,-3.923900,17.861269,23.660000,215.470000
1774.040000,19.060000,-6.089740,-5.177700,17.285675,26.120000,224.840000
1793.270000,19.230000,-5.408130,-6.637370,17.195510,27.060000,236.620000
1812.420000,19.150000,-3.955040,-7.481180,17.156816,25.670000,247.930000
1831.500000,19.080000,-2.549640,-7.912860,17.162691,26.140000,256.280000
1850.750000,19.250000,-1.492540,-8.378860,17.258045,26.450000,263.480000
1869.970000,19.220000,-0.446270,-8.552550,17.198382,26.580000,270.530000
1889.160000,19.190000,0.704127,-8.473850,17.191581,26.180000,279.030000
1908.330000,19.170000,1.895479,-8.087820,17.265183,25.330000,287.480000
1927.460000,19.130000,2.940777,-7.493270,17.344335,24.570000,295.490000
1946.690000,19.230000,3.518837,-6.912600,17.593086,23.030000,298.560000
1966.050000,19.360000,3.643641,-6.550500,17.849718,22.530000,299.620000
1985.170000,19.120000,3.878937,-6.446310,17.575365,23.830000,302.380000
2004.390000,19.220000,4.510549,-6.452030,17.529886,24.580000,307.460000
2023.670000,19.280000,4.918030,-5.931550,17.667475,22.580000,312.050000
2042.730000,19.060000,4.732544,-5.297970,17.685118,21.190000,311.480000
2061.850000,19.120000,4.511963,-5.214010,17.833255,21.090000,310.260000
2081.000000,19.150000,4.431639,-5.244100,17.876850,20.930000,310.140000
2100.140000,19.140000,4.531331,-5.453030,17.776235,22.560000,309.340000
2119.510000,19.370000,4.669868,-5.861740,17.860957,22.970000,307.760000
2138.720000,19.210000,4.495619,-6.032190,17.675007,23.150000,305.640000
2158.010000,19.290000,4.616701,-6.393660,17.601155,25.120000,306.010000
2177.160000,19.150000,4.722119,-6.316650,17.448253,23.530000,307.600000
2185.040000,7.880000,1.886693,-2.437830,7.251689,22.530000,307.880000
2194.690000,9.650000,2.363418,-2.981970,8.867344,23.920000,308.890000
2204.280000,9.590000,2.630618,-3.073200,8.692520,26.010000,312.110000
2213.830000,9.550000,2.940217,-3.115480,8.534141,27.310000,314.520000
2223.480000,9.650000,3.234844,-3.153020,8.526278,28.530000,316.900000
2233.110000,9.630000,3.399745,-3.265690,8.396005,30.100000,315.440000
2242.870000,9.760000,3.464118,-3.593300,8.385491,31.440000,312.520000
2252.360000,9.490000,3.350921,-3.872340,7.985856,33.920000,309.330000
2261.990000,9.630000,3.489316,-4.388830,7.823738,37.340000,307.710000
2271.630000,9.640000,3.670702,-4.828300,7.487447,40.680000,306.810000
2281.230000,9.600000,3.974512,-5.050510,7.125968,43.430000,309.520000
2290.700000,9.470000,4.273916,-5.148010,6.696787,46.520000,309.870000
2300.290000,9.590000,4.524380,-5.457150,6.455972,48.830000,309.460000
2309.890000,9.600000,4.674975,-5.661860,6.181858,50.980000,309.630000
2319.500000,9.610000,4.870603,-5.803450,5.908865,53.120000,310.370000
2329.090000,9.590000,5.047983,-5.954780,5.565247,55.910000,310.210000
2338.670000,9.580000,5.198238,-6.176860,5.151084,59.010000,309.960000
2348.290000,9.620000,5.374128,-6.413720,4.739959,61.930000,309.960000
2357.770000,9.480000,5.469833,-6.484700,4.222364,65.150000,310.330000
2367.400000,9.630000,5.740367,-6.736250,3.785051,68.540000,310.540000
2376.890000,9.490000,5.821853,-6.744140,3.260412,71.260000,311.060000
2386.510000,9.620000,5.997403,-6.972220,2.805649,74.810000,310.350000
2396.090000,9.580000,6.030704,-7.104920,2.196121,78.670000,310.300000
2404.510000,8.420000,5.357136,-6.311320,1.532813,80.350000,310.350000
2414.110000,9.600000,6.124473,-7.239700,1.490897,81.780000,310.110000
2423.750000,9.640000,6.155891,-7.303880,1.296581,82.760000,310.140000
2433.240000,9.490000,6.109604,-7.176150,1.107156,83.840000,310.680000
2442.820000,9.580000,6.216580,-7.240230,0.814759,86.400000,310.620000
2452.410000,9.590000,6.225273,-7.281160,0.393969,88.890000,310.440000
2471.510000,19.100000,12.432950,-14.495500,0.044997,90.840000,310.800000
2490.750000,19.240000,12.558180,-14.574500,-0.224981,90.500000,310.700000
2509.910000,19.160000,12.455620,-14.557900,-0.167200,90.500000,310.400000
2529.100000,19.190000,12.405130,-14.640600,-0.140669,90.340000,310.150000
2548.210000,19.110000,12.300140,-14.625000,-0.073377,90.100000,309.980000
2567.380000,19.170000,12.266410,-14.730400,0.112080,89.230000,309.590000
2586.650000,19.270000,12.256360,-14.865500,0.349755,88.690000,309.420000
2605.870000,19.220000,12.249570,-14.807200,0.264988,89.730000,309.780000
2625.100000,19.230000,12.290860,-14.786000,0.265126,88.690000,309.690000
2644.310000,19.210000,12.249720,-14.794200,0.253115,89.800000,309.560000
2663.390000,19.080000,12.248640,-14.628400,0.094907,89.630000,310.320000
2682.700000,19.310000,12.446440,-14.757100,0.362251,88.220000,309.970000
2701.970000,19.270000,12.301980,-14.825700,0.339640,89.760000,309.400000
2721.270000,19.300000,12.274480,-14.892800,-0.077472,90.700000,309.590000
2740.370000,19.100000,12.167470,-14.721000,-0.233345,90.700000,309.560000
2759.580000,19.210000,12.189420,-14.844900,-0.258156,90.840000,309.220000
2778.740000,19.160000,12.124340,-14.834200,-0.224045,90.500000,309.300000
2797.950000,19.210000,12.115680,-14.905700,0.051965,89.190000,308.910000
2817.030000,19.080000,12.200330,-14.664100,-0.016649,90.910000,310.610000
2836.160000,19.130000,12.402720,-14.562800,-0.113513,89.770000,310.230000
2855.120000,18.960000,12.250630,-14.468500,0.216738,88.920000,310.280000
2874.230000,19.110000,12.455110,-14.490600,0.208447,89.830000,311.080000
2893.320000,19.090000,12.589170,-14.350100,0.094957,89.600000,311.440000
2912.530000,19.210000,12.707730,-14.401400,0.320160,88.490000,311.410000
2931.470000,18.940000,12.500700,-14.224300,0.228061,90.130000,311.210000
2950.420000,18.950000,12.533760,-14.209300,-0.243074,91.340000,311.620000
2969.370000,18.950000,12.518210,-14.221600,-0.355521,90.810000,311.090000
2988.260000,18.890000,12.340210,-14.296200,-0.382410,91.510000,310.510000
3007.230000,18.970000,12.318350,-14.415300,-0.561111,91.880000,310.520000
3026.200000,18.970000,12.272840,-14.456300,-0.478359,91.010000,310.140000
